"collection_number","days_since_previous","collected_at","url","user_id","username","title","hashtags","audio_name","location_name","ad","uploaded_at","video_duration_seconds","days_since_upload","view_count","like_count","comment_count","repost_count","follower_count","reaction_rate","view_count_change","like_count_change","comment_count_change","repost_count_change","follower_count_change","reaction_rate_change"
"1","","2026-08-30T06:29:01.439Z","","","ffffei_f","fitcheck together …","","Bruno Mars · Treasure","","false","","","","552649","25128","73","502","","","","","","","",""
"1","","2026-08-30T06:29:11.744Z","","","shawichiro","FaSHioN …","","CORTIS · FaSHioN","","false","","","","654869","87759","128","2578","","","","","","","",""
"1","","2026-08-30T06:29:21.600Z","","","mili2gram___","Fit check =>> …","","","","false","","","","1028427","69752","167","10","","","","","","","",""
"1","","2026-08-30T06:29:31.639Z","","","maengcksdud","남자한테 …","","M.Sasuke · GG EZ","","false","","","","98333","794","28","1","","","","","","","",""
"1","","2026-08-30T06:29:41.135Z","","","chiprooma","🪨 …","","","","false","","","","385609","34621","62","52","","","","","","","",""
"1","","2026-08-30T06:29:51.263Z","","","ryan.salas25","Having fashion friends >>> @lilyhjs …","","","","false","","","","2270681","205345","183","5739","","","","","","","",""
"1","","2026-08-30T06:30:01.998Z","","","cove.jc","얼굴엔 안보이지만 지금 엄청 기쁩니다. …","#코디 #코디추천","","","false","","","","166960","3753","83","48","","","","","","","",""
"1","","2026-08-30T06:30:12.299Z","","","aspara6ekon","寒すぎるんだょ。。 …","","Mariah Carey · All I Want For Christmas Is You","","false","","","","315936","12745","15","381","","","","","","","",""
"1","","2026-08-30T06:30:22.599Z","","","fitbychris_","Follow for more outfit inspo …","","Dominic Fike · Babydoll","","false","","","","826678","31592","80","603","","","","","","","",""
"1","","2026-08-30T06:30:32.331Z","","","rubens_muchelin","Outfit of the day …","","","","false","","","","1371960","73507","149","415","","","","","","","",""
"1","","2026-08-30T06:30:42.313Z","","","_ihgannn","놀랍게도 7부티만 입는 사람의 ootd★ …","","The Black Skirts · Ling Ling","","false","","","","139735","1573","207","56","","","","","","","",""
"1","","2026-08-30T06:30:53.167Z","","","p.salty_fashion","중학생이 해주는 가을 빈티지 웜업 코디!🍁🍂 …","","Funkadelic · (Not Just) Knee Deep (2015 Remaster)","","false","","","","2261805","88491","1303","7","","","","","","","",""
"1","","2026-08-30T06:31:03.565Z","","","im_haoniye","Old poems …","#ootd","","","false","","","","1568427","145773","158","3761","","","","","","","",""
"1","","2026-08-30T06:31:13.870Z","","","chaet_","fitcheck …","","Wale · Bad (feat. Rihanna) [Remix]","","false","","","","1093478","103426","135","3235","","","","","","","",""
"1","","2026-08-30T06:32:00.962Z","","","daniel_yu07","First edit🙏 …","","ian · Magic Johnson","","false","","","","1594111","180441","349","2575","","","","","","","",""
"1","","2026-08-30T06:32:47.632Z","","","kabuki_610","red plaid hoodie fit 🔥👀✨ …","","","","false","","","","217119","24438","83","1794","","","","","","","",""
"1","","2026-08-30T06:32:57.949Z","","","camcabrido","Slatttt …","","","","false","","","","616864","42313","122","1505","","","","","","","",""
"1","","2026-08-30T06:33:07.789Z","","","v1nootd","…","#fashion #ootd #outfit #07 #fyp","BILL STAX · You're So Fine (Ft. Coogie)","","false","","","","238029","16605","27","523","","","","","","","",""
"1","","2026-08-30T06:33:18.704Z","","","z1.hoon","slick set-up …","","The Alchemist · Ray Mysterio (Instrumental)","","false","","","","10103","349","10","10","","","","","","","",""
"1","","2026-08-30T09:59:13.461Z","","","mminowk_","…","#ootd #07 #패션 #fyp #패디과","","","false","","","","612449","24691","91","497","","","","","","","",""
"1","","2026-08-30T09:59:42.725Z","","","xfyu16_","Color-changing clothes?! …","","XmegaLxl · JET SET!","","false","","","","140609","6333","56","260","","","","","","","",""
"1","","2026-08-30T10:01:09.215Z","","","jenss.gallery","룩은 바뀌고 싶어쓰 :) …","","EsDeeKid · 4 Raws","","false","","","","366936","24238","65","541","","","","","","","",""
"1","","2026-08-30T10:02:18.386Z","","","e__ensemble","아웃핏 체크 해볼게요 …","","Hump Back · Bokura wa Kyou mo Kuruma no Naka","","false","","","","971","31","","","","","","","","","",""
"1","","2026-08-30T12:31:44.837Z","","","shawichiro","FaSHioN …","","CORTIS · FaSHioN","","false","2025-12-07","","266","654896","87759","128","2578","","","","","","","",""
"1","","2026-08-30T12:32:25.016Z","","","xfyu16_","Color-changing clothes?! …","","XmegaLxl · JET SET!","","false","2026-03-12","","171","140612","6333","56","260","","","","","","","",""
"1","","2026-08-30T12:33:08.338Z","","","sori.__.i","중딩이 …","","BOYNEXTDOOR · Hollywood Action","","false","2025-12-02","","271","4527818","118117","330","1440","","","","","","","",""
"1","","2026-08-30T12:34:08.134Z","","","aaa___________hhh","⁡Today's Outfit Check …","","","","false","2026-06-04","","87","36497","","10","6","","","","","","","",""
"1","","2026-08-30T12:35:05.258Z","","","dongdongtv","2026.01.27 오사카 1일차 룩 …","","XmegaLxl · JET SET!","","false","2026-01-27","","215","511736","2150","139","73","","","","","","","",""
"1","","2026-08-30T12:36:20.624Z","","","ina0x","나는 아직 민트도 못 즐겼어 …","","","","false","2026-07-20","","41","317645","2884","64","53","","","","","","","",""
"1","","2026-08-30T12:36:59.640Z","","","d__h_04","평범한 K-남고딩의 가을 코디 모음집!! …","","","","false","2021-10-15","","1780","1491130","10503","","6","","","","","","","",""
"1","","2026-08-30T12:37:41.693Z","","","aerimism_","08.11 ootd 기록 …","","Drake · God's Plan","","false","2026-08-23","","7","215400","22957","23","619","","","","","","","",""
"1","","2026-08-30T12:38:28.907Z","","","aerimism_","07.18 ootd 기록 …","","Khalid · Better","","false","2026-07-24","","37","105176","10352","27","270","","","","","","","",""
"1","","2026-08-30T12:39:10.649Z","","","aerimism_","08.06 ootd 기록 …","","JUNNY · INVITATION (Feat. Gaeko)","","false","2026-08-13","","17","180503","19128","19","300","","","","","","","",""
"1","","2026-08-30T12:40:39.392Z","","","christianshare__","진짜 덥다 …","","Don Toliver · You (feat. Travis Scott)","","false","2026-04-25","","127","360843","1588","266","44","","","","","","","",""
"1","","2026-08-30T12:42:43.558Z","","","sernx_c","음 여름냄새 🧊 …","","Post Malone, Swae Lee · Sunflower","","false","2026-08-02","","28","2637","","5","","","","","","","","",""
"1","","2026-08-30T12:43:56.090Z","","","jenss.gallery","룩은 바뀌고 싶어쓰 :) …","","EsDeeKid · 4 Raws","","false","2026-02-28","","183","366981","24238","65","541","","","","","","","",""
"1","","2026-08-30T12:45:34.151Z","","","6m.b1tionn_","제주도 사는 08년생 오오티디 …","#08 #제주도 #fyp #ootd","","","false","2026-07-28","","33","45525","1274","38","17","","","","","","","",""
"1","","2026-08-30T12:46:39.097Z","","","sernx_c","국가연금술사가 되고싶어요 ⚗️ …","","wave to earth · sunny days","","false","2026-02-27","","184","2299","","3","1","","","","","","","",""
"1","","2026-08-30T12:47:18.322Z","","","e__ensemble","아웃핏 체크 해볼게요 …","","Hump Back · Bokura wa Kyou mo Kuruma no Naka","","false","2026-04-28","","124","976","31","0","","","","","","","","",""
"1","","2026-08-30T12:48:03.939Z","","","sy0n.jj","뭐 입을지 고민될 때 …","","CORTIS · FaSHioN","","false","2026-07-30","","31","4261","0","6","","","","","","","","",""
"1","","2026-08-30T12:48:46.528Z","","","taiy0_y0","쉬는날 텐션이랄까⭐️ …","","Wonder Girls · Tell Me (Rap Version)","","false","2026-06-10","","81","124870","717","154","39","","","","","","","",""
"1","","2026-08-30T12:49:35.577Z","","","heenunu_","미디스커트로 어른여자 되고 싶은@날. …","","The Melody · Polly","","false","2026-06-19","","72","144986","1477","729","83","","","","","","","",""
"1","","2026-08-30T12:50:21.084Z","","","aerimism_","7.17 ootd 기록 …","","Coogie · Two Pills","","false","2026-07-22","","39","83218","9179","30","184","","","","","","","",""
"1","","2026-08-30T12:51:00.636Z","","","_hyuniqlook","도서관가는 백수의 봄 데일리룩 …","","DAYOUNG · What's a girl to do","","false","2026-07-05","","56","242586","4022","41","124","","","","","","","",""
"1","","2026-08-30T12:51:51.449Z","","","vthlft7 and untitled.seoul","OOTD …","","Drake · Shabang","","false","2026-07-27","","34","77568","2552","44","54","","","","","","","",""
"1","","2026-08-30T12:52:53.122Z","","","uoowwwll","@yupecollective …","","Justin Bieber · Right Here (feat. Drake)","","false","2026-04-22","","130","38650","645","16","3","","","","","","","",""
"1","","2026-08-30T12:54:14.214Z","","","dongdongtv","2026.06.01 컬러레이어드에 맛들렸다😋😋 …","","","","false","2026-06-01","","90","538680","2183","124","119","","","","","","","",""
"1","","2026-08-30T12:54:56.372Z","","","f.a.vs_s","어때요😂😂 …","","","","false","2025-07-30","","396","337009","14592","27","119","","","","","","","",""
"1","","2026-08-30T12:55:41.623Z","","","1ss_e19","outfit check in Japan💐🇯🇵 …","","Ravyn Lenae · Love Me Not","","false","2025-10-01","","333","131232","1","38","199","","","","","","","",""
"1","","2026-08-30T12:56:33.891Z","","","zlnchul","어디야 언제와 …","","wave to earth · seasons","","false","2026-07-04","","57","6394","222","24","4","","","","","","","",""
"1","","2026-08-30T12:57:31.624Z","","","d0ngdong_","절 팔로우하고 예쁜 코디 구경하세오 🫧 …","","Yerin Baek · Lean On Me","","false","2026-07-29","","32","75370","284","146","11","","","","","","","",""
"1","","2026-08-30T12:58:48.077Z","","","mydire_","프라하 와서 정말 열심히 입고 있는 데님🖤 …","","","","false","","","","35974","122","9","7","","","","","","","",""
"1","","2026-08-30T13:00:15.831Z","","","limdqda","세상이 거꾸로 움직여~ …","","CHRYSTAL, NOTION · The Days (NOTION Remix)","","false","2026-04-03","","149","34215","1107","15","22","","","","","","","",""
"1","","2026-08-30T13:00:58.243Z","","","ivvoooe and sokpyeonan.inner","남자친구가 말한 “편하게 입고 와”의 뜻 …","","Starly · Kavkaz","","false","2026-05-20","","102","1804660","24675","2636","526","","","","","","","",""
"1","","2026-08-30T13:02:00.424Z","","","kirev_official","See more","","Zion.T · May","","false","2026-05-18","","104","1085035","44581","20","439","","","","","","","",""
"1","","2026-08-30T13:02:55.187Z","","","__1.nna","내 최애 코디 몇 번이게? 힌트 : 🍙 …","","","","false","2026-06-16","","75","62931","1430","32","17","","","","","","","",""
"1","","2026-08-30T13:03:53.205Z","","","skrrrhanoo__official","이번년도 3개월 남았네 …","","Lee Moon Sae · 가을이 오면","","false","","","","666110","4438","127","72","","","","","","","",""
"1","","2026-08-30T13:05:03.114Z","","","_o6.12","월화수목금🦦🦦 …","","Bazzi · I Like That      |  Music House for Children, Emma Hutchinson · Bubbles  |  Sound Effects Nation · Doorbell Ringing","","false","2026-08-13","","17","29611","12","9","9","","","","","","","",""
"1","","2026-08-30T13:05:53.092Z","","","_k.sun__ and laurantseoul","길가다 인스타 따인 룩 …","","Lee Hyori · 10 Minutes","","false","2026-07-03","","58","618093","29050","347","844","","","","","","","",""
"1","","2026-08-30T13:06:21.688Z","","","hanzus__","호불호 없는 머슬핏 코디 !! …","","Martin Tungevaag · Wicked Wonderland","","false","2026-08-06","","24","241194","2189","203","62","","","","","","","",""
"1","","2026-08-30T13:07:05.888Z","","","clouhwi","슬림핏 붐 오나요? …","","Yoshimasa Terui · Delirious","","false","2026-05-26","","96","111161","1350","64","18","","","","","","","",""
"1","","2026-08-30T13:07:56.708Z","","","uoowwwll","…","#fyp #남자코디 #ootd","","","false","2026-03-29","","154","163011","3765","38","56","","","","","","","",""
"1","","2026-08-30T13:09:04.391Z","","","shawichiro","MY FaSHioN …","","CORTIS · FaSHioN","","false","","","","6747","","5","8","","","","","","","",""
"1","","2026-08-30T13:09:52.457Z","","","hanzus__","역삼각형 체형 만들어주는 코디 ! …","","Troye Sivan · Strawberries & Cigarettes","","false","","","","107021","421","139","6","","","","","","","",""
"1","","2026-08-30T13:10:49.647Z","","","jigm______","미리 보는 가을 …","","","","false","2026-08-17","","13","181995","2534","408","85","","","","","","","",""
"1","","2026-08-30T13:11:55.524Z","","","jun_seonng","당신의 취향은? Ver.5 …","","DJ Johnrey, Prezioso, Marvin & Andrea Prezioso · Emergency","","false","2024-09-20","","709","948638","18650","318","","","","","","","","",""
"1","","2026-08-30T13:12:52.112Z","","","jine__us","프릴로 시작해서 플리츠로 끝나는 다양한 나의취향..🫣 …","","The Black Eyed Peas · Bebot","","false","2026-06-25","","66","345776","","5203","94","","","","","","","",""
"1","","2026-08-30T13:13:50.948Z","","","i_am_jiwus and wozzstandard","이번 주 데일리 코디 모음 👕 …","","","","false","","","","47767","249","6","","","","","","","","",""
"1","","2026-08-30T13:14:32.613Z","","","hyoi1_01","스트릿 패션 도전기 249차 …","","Eminem · Without Me","","false","2025-08-17","","378","317217","1428","143","20","","","","","","","",""
"1","","2026-08-30T13:15:10.910Z","","","ehgnachx and yon1_yeon1","서로 우기는 요즘 남친룩 vs 여친룩 …","","CORTIS · ACAI","","false","2026-07-12","","49","19308","887","52","53","","","","","","","",""
"1","","2026-08-30T13:15:38.674Z","","","jigm______","그거 내 전문인데 …","","Forrest Frank, Connor Price · UP!","","false","2026-05-21","","101","17257","307","16","3","","","","","","","",""
"1","","2026-08-30T13:16:24.815Z","","","dongdongtv","2025.10.05 성수동 가는 룩 …","","Mac Miller · Surf","","false","2025-10-05","","329","310749","949","66","8","","","","","","","",""
"1","","2026-08-30T13:17:33.169Z","","","dongx_xdong","174cm 남자 빈티지 코디모음 ☆ (옷정보 클릭) …","","","","false","","","","357126","5889","25","3","","","","","","","",""
